wave,flux,err,co
7855.973322609896,13.2845,1.3451118,16.721254
7857.7824355900875,17.8991,1.2070553,16.74277
7859.591965181908,15.8446,0.8913768,16.764286
7861.401911481279,14.8994,0.9683351,16.785805
7863.212274584181,15.3975,1.0915489,16.807325
7865.023054586578,19.7604,0.9422815,16.82885
7866.834251584495,16.5899,0.7734944,16.850374
7868.645865673941,16.2157,0.8372614,16.8719
7870.457896950985,15.2877,0.95059353,16.893427
7872.27034551168,20.1628,1.0679196,16.914955
7874.083211452138,15.5968,0.96134293,16.935179
7875.896494868467,16.4902,0.8295171,16.948177
7877.710195856797,17.8679,0.794061,16.953758
7879.524314513297,16.9244,0.87406445,16.952549
7881.338850934158,17.4874,0.9758954,16.945177
7883.1538052155765,17.008,0.9714967,16.932272
7884.9691774537705,16.7192,0.93553185,16.914463
7886.784967745007,17.762,0.8592321,16.892382
7888.601176185541,15.7439,0.8199917,16.86666
7890.417802871681,16.4459,1.0341853,16.837925
7892.234847899726,18.2607,1.2022331,16.806816
7894.052311366033,17.0273,0.94438857,16.773964
7895.870193366943,16.8772,0.79157186,16.740005
7897.688493998856,16.8295,0.76548946,16.705574
7899.50721335816,15.3185,0.73051107,16.67131
7901.326351541296,15.8746,0.7505507,16.637848
7903.1459086447,16.5312,0.8123211,16.605825
7904.965884764858,16.7092,0.8015533,16.575886
7906.786279998245,15.8221,0.7607456,16.548664
7908.607094441395,16.8626,0.76988703,16.524807
7910.428328190837,16.7455,0.7775594,16.504951
7912.249981343123,17.2942,0.91871184,16.489744
7914.072053994843,16.4345,1.2698467,16.479725
7915.89454624261,15.6826,1.49735,16.472506
7917.717458183042,16.026,1.1779119,16.46671
7919.5407899127795,16.3934,0.9166253,16.462175
7921.364541528511,15.8108,0.9570671,16.458744
7923.188713126913,15.0465,1.0825421,16.456255
7925.013304804718,17.0799,1.0476794,16.454546
7926.838316658647,16.4956,0.8300427,16.453457
7928.663748785477,17.1112,0.77269506,16.452826
7930.4896012819745,16.4674,0.8474759,16.452494
7932.3158742449605,15.622,0.9625134,16.452295
7934.142567771245,15.0545,1.0456556,16.45207
7935.969681957695,17.1024,0.92806876,16.451656
7937.797216901165,15.5509,0.76492715,16.450891
7939.625172698565,16.5768,0.76918983,16.449614
7941.453549446796,16.6361,0.79265285,16.447659
7943.282347242814,14.1918,0.7484036,16.444864
7945.111566183569,13.1809,0.72049737,16.441067
7946.941206366038,14.4996,0.7662734,16.436102
7948.771267887235,15.9343,0.8422415,16.429808
7950.6017508441955,16.5118,0.95885605,16.422018
7952.4326553339615,17.6995,0.98435974,16.41257
7954.263981453599,17.0654,0.8533212,16.4013
7956.0957293002175,15.8231,0.78238016,16.388803
7957.927898970918,16.7937,0.7635301,16.375795
7959.760490562859,15.9907,0.74604225,16.362238
7961.593504173184,17.4656,0.80061,16.348087
7963.426939899095,16.2905,0.9312505,16.333307
7965.260797837781,17.2482,1.2533976,16.317854
7967.09507808649,14.0083,1.3007321,16.301687
7968.9297807424555,16.919,1.1550657,16.284765
7970.764905902968,15.7352,0.8698415,16.267052
7972.600453665309,16.0352,0.7989219,16.2485
7974.436424126813,15.1413,0.78306353,16.229074
7976.2728173848045,16.4299,0.82469076,16.208729
7978.109633536664,15.4819,0.85561705,16.187428
7979.94687267976,13.747,0.9334021,16.165125
7981.78453491152,14.4966,1.0663424,16.141783
7983.622620329356,16.3999,0.9807693,16.11736
7985.461129030739,14.9242,0.80615807,16.091812
7987.300061113137,15.9416,0.78348637,16.0651
7989.13941667404,16.9106,0.79577386,16.037184
7990.9791958109845,16.928,0.8011416,16.00802
7992.819398621498,16.765,0.9902446,15.977568
7994.660025203162,14.9778,1.3515081,15.9457855
7996.5010756535485,13.7861,1.4251537,15.91284
7998.342550070284,16.5715,1.0133897,15.879086
8000.184448550986,13.2272,0.78397745,15.844587
8002.026771193327,16.1072,0.779776,15.809404
8003.869518094967,13.4277,0.74071836,15.773599
8005.712689353624,16.8774,0.7912373,15.737231
8007.556285067005,15.0117,0.76398677,15.700362
8009.400305332871,15.6288,0.7606223,15.663053
8011.244750248973,16.0642,0.7701747,15.625363
8013.08961991312,15.2942,0.8136726,15.587357
8014.934914423109,14.0703,0.9272266,15.549092
8016.78063387679,13.7135,0.9406917,15.5106325
8018.626778372005,15.3192,0.8583391,15.472038
8020.4733480066525,15.0956,0.8040212,15.433371
8022.320342878626,14.6905,0.79155207,15.394692
8024.167763085845,16.0208,0.8331077,15.356064
8026.015608726264,17.3662,1.0616968,15.317548
8027.863879897863,13.7136,1.4742241,15.279205
8029.712576698627,17.5351,1.3654451,15.241098
8031.561699226565,17.2064,0.8925263,15.203289
8033.411247579731,14.8009,0.7845249,15.165839
8035.261221856169,15.731,0.7817798,15.128812
8037.1116221539805,13.5137,0.76191497,15.092268
8038.962448571255,15.9437,0.7797428,15.056271
8040.813701206137,15.4071,0.7521072,15.020853
8042.665380156763,15.0899,0.74829465,14.985612
8044.517485521323,14.6717,0.73872495,14.950429
8046.370017397997,14.4146,0.728444,14.915338
8048.222975885021,14.7037,0.729228,14.880372
8050.076361080621,14.9733,0.74898696,14.845567
8051.930173083077,15.6544,0.810574,14.810955
8053.78441199066,14.7933,0.87286156,14.776571
8055.639077901697,13.2042,0.8323599,14.742449
8057.494170914513,14.1106,0.7598578,14.708622
8059.349691127453,14.2552,0.74407357,14.675125
8061.205638638904,14.3075,0.77644056,14.641992
8063.062013547275,15.3999,0.9476864,14.609258
8064.9188159509795,14.0399,1.04721,14.576955
8066.776045948456,13.8058,0.94136256,14.54512
8068.63370363819,14.9197,0.8013294,14.513786
8070.491789118655,13.5213,0.7540869,14.482987
8072.350302488382,14.7152,0.74189365,14.452759
8074.209243845891,14.1968,0.7399839,14.423135
8076.068613289757,14.5194,0.7462728,14.394151
8077.928410918546,14.3308,0.74625,14.365839
